movie_title,movie_score,movie_description,movie_type,release_date,director,rating,country,main_actors,movie_genre
High School,65.3,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",Sci-Fi,3/31/1910,Karlen Bachmann,3.3,Serbia,Homere Draxford,Romance
Death Race 2,23.7,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",Comedy,11/11/2003,Meggie Kilpatrick,3.4,Honduras,Owen Daniels,Mystery
Land of the Pharaohs,67.6,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",Sci-Fi,2/14/1994,Waylon Simko,5.6,Spain,Regina Severn,Mystery
Space Chimps,32.3,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",Horror,8/6/1900,Prentice Hauxby,8.0,Philippines,Chevalier Marquiss,Mystery
The Happy Road,83.9,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Drama,11/2/1956,Myranda Blaik,2.6,China,Odelia Adlington,Romance
Not Here to Be Loved (Je ne suis pas là pour être aimé),76.3,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",Comedy,11/22/1933,Madelin Dracey,3.8,Philippines,Thomasa Bettley,Thriller
House Arrest,80.3,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Drama,5/3/1906,Neilla Ash,6.7,Thailand,Conny Joselovitch,Romance
Urban Ghost Story,40.2,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",Action,12/12/1915,Hector Jaskiewicz,4.3,Russia,Ronny Argue,Thriller
"Life and Death of Colonel Blimp, The",38.9,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",Action,7/21/1936,Noby Juanes,8.5,Russia,Jo Matzeitis,Fantasy
Vanity Fair,66.6,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,Horror,12/1/2001,Fifine Brimham,7.1,Sweden,Stoddard Woofenden,Animation
"Secret of Roan Inish, The",34.5,"In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",Comedy,2/27/1931,Cherida MacMychem,5.4,Indonesia,Augie Dunbabin,Romance
"Matador, The",74.7,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",Comedy,4/4/1931,Alexine Newtown,2.3,Syria,Zaria Castiblanco,Romance
Heart of America,73.1,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",Sci-Fi,12/14/1954,Dewain Charlotte,2.3,Malaysia,Suzie Bloodworthe,Romance
Time Bandits,55.5,Fusce consequat. Nulla nisl. Nunc nisl.,Drama,1/12/1922,Bear Pleace,0.3,Belarus,Georgia Sheber,Fantasy
Calling Dr. Death,18.5,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",Action,10/27/2005,Carolan Firebrace,8.4,Afghanistan,Darda Bernardes,Mystery
"Thomas Crown Affair, The",65.8,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Horror,6/16/2010,Fredra Dobrovsky,6.3,Indonesia,Kirstyn Penna,Romance
Turner & Hooch,53.0,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",Drama,3/7/1968,Jaquith Kopec,0.5,Brazil,Sly Lowth,Thriller
"Duellists, The",22.7,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Horror,12/11/2003,Olly Benthall,3.6,Macedonia,Tito Blasio,Thriller
"Cross of Lorraine, The",14.7,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Comedy,12/11/1992,Ebony Scaice,6.3,Malaysia,Nathanial Struys,Fantasy
"Haunted Strangler, The (Grip of the Strangler)",41.9,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",Comedy,12/14/1950,Dynah McCook,0.8,Philippines,Lavina Savins,Fantasy
Godzilla vs. Mechagodzilla II (Gojira VS Mekagojira),60.3,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",Sci-Fi,3/25/1934,Maritsa Menelaws,3.9,China,Trefor Crockett,Fantasy
The Garden of Sinners - Chapter 5: Paradox Paradigm,60.5,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Comedy,1/14/2007,Jasmin Pickrill,9.1,Brazil,Mikol Ryall,Mystery
Hippocrates,82.0,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",Horror,2/12/1980,Binnie Thorald,2.9,China,Caritta Pettingall,Animation
"Lords of Salem, The",39.8,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",Horror,7/31/1963,Wilt Tremblet,10.0,Indonesia,Silvio Lambersen,Romance
Taxi,43.8,In congue. Etiam justo. Etiam pretium iaculis justo.,Comedy,3/15/1954,Al Klas,1.3,China,Rachele Afield,Fantasy
Food Stamped,91.2,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",Action,8/25/2013,Veronika Mandell,7.1,China,Kali Valance,Animation
"Blues Brothers, The",23.1,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,Horror,9/5/2014,Iona Vidloc,8.2,Indonesia,Jerri Capron,Thriller
"Dungeon Masters, The",47.8,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,Comedy,8/2/1933,Andonis Tungay,8.5,Greece,Tory Gilphillan,Mystery
"Taste of Tea, The (Cha no aji)",2.9,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",Sci-Fi,11/16/2021,Carlyle MacCardle,9.9,Jordan,Andriette Alliston,Thriller
"Dinner Guest, The (L'invité)",28.5,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",Comedy,9/18/1956,Hank Duchant,5.0,Indonesia,Orton Krinks,Romance
"Corn Is Green, The",73.7,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",Action,9/1/1963,Leshia Caitlin,8.5,France,Hiram McColley,Animation
Radio Inside,72.3,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",Comedy,2/22/1951,Tabor Pavlovic,3.9,China,Mendy Tremmil,Romance
One Week,62.9,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Sci-Fi,4/1/1969,Chloe Dalby,4.4,Zimbabwe,Gwennie Hakey,Thriller
Code 46,42.7,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Horror,2/7/1914,Delinda Riggert,3.0,Portugal,Demetria Spivie,Thriller
Memento,70.0,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",Drama,5/16/2010,Garwin Zavattiero,7.7,China,Hyacintha Macvey,Thriller
"Perils of Pauline, The",20.9,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",Drama,1/19/1939,Stesha Crepin,9.5,United States,Crissie Lindblad,Romance
"Visitors, The (Visiteurs, Les)",87.0,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",Drama,8/12/1939,Malissa Mighele,9.1,Colombia,Kimmi Tack,Animation
Distant Drums,53.0,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",Comedy,4/16/1903,Wyndham Moquin,0.2,Indonesia,Ondrea Deller,Animation
Quatermass 2 (Enemy from Space),9.0,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",Comedy,5/12/1952,Sig Grafhom,7.2,Austria,Michelina Girault,Thriller
Sons of the Desert,88.6,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Comedy,1/12/1931,Gilberte Billings,6.4,France,Maisie Bruyntjes,Mystery
Ringers: Lord of the Fans,83.0,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",Sci-Fi,4/27/1989,Inger Harrowing,0.5,China,Orlando Semken,Fantasy
"Aguirre: The Wrath of God (Aguirre, der Zorn Gottes)",56.2,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",Comedy,9/5/1980,Avie Moulsdale,3.0,China,Catharine Barkus,Fantasy
"Mother of Tears: The Third Mother (Terza madre, La)",52.1,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Horror,3/20/1914,Waverly Broadnicke,4.6,Japan,Elke Pugsley,Fantasy
UnHung Hero,21.0,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",Comedy,10/2/1988,Renado Moffatt,8.3,Ukraine,Giffie Huelin,Fantasy
"Spanish Main, The",75.1,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Horror,1/8/1964,Meghan Emes,1.6,Serbia,Ewart Ogborne,Mystery
"Pursuit of the Graf Spee (Battle of the River Plate, The)",2.9,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",Action,11/13/1943,Hendrik Dast,4.3,Peru,Brewster Skarr,Mystery
Carbine Williams,96.6,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Horror,3/28/1976,Meryl Edbrooke,0.4,China,Alfy McCorry,Animation
Nick Offerman: American Ham,3.6,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",Sci-Fi,5/20/1973,Kort Rayer,1.1,Poland,Misti Erb,Animation
Vasermil,54.0,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",Drama,5/25/1951,Moshe Dottridge,1.6,Cuba,Elnore Keynes,Romance
Altiplano,61.7,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Action,2/21/2017,Berta Mee,7.9,Brazil,Patty Robrose,Animation
"Dupes, The (Al-makhdu'un)",73.3,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,Drama,1/31/1967,Aurea Orto,3.2,United States,Bathsheba Axtens,Thriller
"Contractor, The",31.0,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",Drama,8/1/1953,Lilla Tunny,5.1,Japan,Moira Valens-Smith,Thriller
Into the Woods,16.0,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.",Comedy,12/21/1937,Zebadiah Blanc,1.1,Japan,Shellysheldon Seppey,Fantasy
Raising Victor Vargas,66.9,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,Horror,12/18/1914,Kit Atkins,6.0,South Korea,Dixie Binton,Romance
"Ballroom, The (Chega de Saudade)",58.4,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Horror,7/3/1999,Debee Durrett,8.4,Bulgaria,Lucila Jirasek,Fantasy
Solomon Northup's Odyssey,63.4,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,Drama,4/12/1950,Vina Gunnell,1.9,Philippines,Anette Underwood,Romance
The World Forgotten,68.7,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",Sci-Fi,1/17/1998,Woodman Cattellion,2.6,Poland,Genovera Crudge,Animation
Widows,37.7,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Sci-Fi,1/3/2014,Delbert Harriday,1.4,Brazil,Aguistin Swadon,Mystery
Spooner,5.5,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Drama,6/23/1962,Clement Foad,4.5,United States,Ross Jorat,Thriller
"Pact, The",80.1,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",Action,7/29/2022,Malissa Andreassen,7.5,Portugal,Benyamin Abells,Animation
"Autumn Tale, An (Conte d'automne)",9.4,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",Horror,3/17/1963,Gaylene Feaveer,0.3,Portugal,Brita McCloy,Mystery
